"Timestamp","What is your gender?","What year did you complete you SPM?","  Which state did you complete your SPM in?  ","  What type of secondary school did you attend?  ","Which stream did you take during SPM? (Select up to 2)","What was your SPM results?","Which subjects did you enjoy most during SPM? (Select up to 3)  ","Which subjects did you find most difficult during SPM? (Select up to 3)   ","How would you describe your personality?  ","Which type of tasks do you enjoy most? (Select up to 2)","How would you describe your characteristics? (Select up to 3)","How comfortable are you with public speaking or presentations?  ","Which pre-university program or course did you take after SPM?  ","What major / field of study did you pursue / currently pursuing?  ","What were the main reasons for choosing that major? (Select up to 3)  ","Would you say your field of study is related to your stream you were in for SPM?","How satisfied are you with your current field of study?  ","What advice would you give to current SPM students choosing their major?  "
"2025/10/31 5:22:50 PM GMT+8","Female","SPM 2021","Negeri Sembilan","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Ambivert","Creating or designing things;Analysing and interpreting data","Adventurous;Reserved","2","STPM","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities","Yes","5","They should keep on hardworking"
"2025/10/31 7:52:11 PM GMT+8","Male","SPM 2023","Pahang","Public School (SMK / SMJKC)","Arts;Sports Science","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Writing or storytelling;Analysing and interpreting data","Adventurous;Outgoing;Compassionate","3","Diploma","Architecture & Built Environment","Personal interest & Passion","No","4","See what your passion is"
"2025/10/31 7:56:40 PM GMT+8","Female","SPM 2022","Pulau Pinang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Outgoing;Strategic;Persuasive","5","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","5","take your time choosing"
"2025/10/31 7:59:07 PM GMT+8","Female","SPM 2023","Melaka","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Technical & Engineering Subjects","Extrovert","Helping and communicating with people;Writing or storytelling","Creative;Outgoing;Compassionate","5","Matriculation","Engineering (Mechanical, Civil, Electrical etc)","Family expectation;Peers / Friends influence","Yes","1","don’t choose solely based on your spm subjects"
"2025/10/31 8:03:02 PM GMT+8","Female","SPM 2020","Sabah","Public School (SMK / SMJKC)","Arts","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics)","Ambivert","Creating or designing things;Organizing, planning, or managing","Creative;Outgoing;Compassionate","4","Foundation","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","Yes","5","don’t choose carelessly"
"2025/10/31 8:06:12 PM GMT+8","Male","SPM 2023","Negeri Sembilan","Religous School (Sekolah Agama)","Science (Biology, Chemistry etc);Islamic Studies","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Introvert","Helping and communicating with people;Organizing, planning, or managing","Persuasive;Observant;Resiliant","2","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Academic strength in SPM subjects;Family expectation","Yes","1","despite others, choose what you really want"
"2025/11/12 3:52:46 PM GMT+8","Male","SPM 2021","Melaka","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects","Science Subjects (Science, Biology, Physics)","Extrovert","Solving logical or mathematical problems","Adventurous;Outgoing;Resiliant","3","Matriculation","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion","No","4","Choose the subject you like"
"2025/11/16 5:02:01 PM GMT+8","Female","SPM 2022","Pahang","Public School (SMK / SMJKC)","Arts;Sports Science","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Writing or storytelling","Creative;Adventurous;Strategic","4","Diploma","Architecture & Built Environment","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","dont listen to other ppl"
"2025/11/16 5:03:41 PM GMT+8","Male","SPM 2021","Melaka","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Experimenting and researching","Creative;Observant;Compassionate","2","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Academic strength in SPM subjects;Family expectation","Yes","2","follow your instincts"
"2025/11/16 5:06:41 PM GMT+8","Female","SPM 2020","Perlis","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Islamic Studies","3 - 5 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Organizing, planning, or managing;Writing or storytelling","Adventurous;Analytical;Observant","1","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Job opportunities;Family expectation","No","4","do research on everything"
"2025/11/16 5:10:16 PM GMT+8","Female","SPM 2022","Sarawak","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Arts","9+ As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Creating or designing things;Experimenting and researching","Outgoing;Strategic;Compassionate","5","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","do what you lovee"
"2025/11/16 5:13:19 PM GMT+8","Male","SPM 2020","Perlis","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Experimenting and researching","Observant;Resiliant;Reserved","1","A-Levels","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","Yes","5","think deeply"
"2025/11/16 5:15:18 PM GMT+8","Male","SPM 2022","Melaka","Religous School (Sekolah Agama)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Islamic Studies","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Writing or storytelling","Creative;Adventurous;Persuasive","5","Diploma","Law & Legal Studies","Personal interest & Passion;Academic strength in SPM subjects","No","5","spm isnt what determines your future"
"2025/11/16 5:20:54 PM GMT+8","Female","SPM 2022","Melaka","Public School (SMK / SMJKC)","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Ambivert","Organizing, planning, or managing;Experimenting and researching","Creative;Adventurous;Outgoing","4","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Job opportunities;Salary potential;Family expectation","Yes","2","dont force yourself to take what youre not interested in"
"2025/11/16 5:25:22 PM GMT+8","Male","SPM 2023","Johor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Accountancy & Commerce Subjects","Extrovert","Creating or designing things;Helping and communicating with people","Creative;Outgoing;Resiliant","4","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;Family expectation","Yes","3","do what you want"
"2025/11/16 5:28:08 PM GMT+8","Male","SPM 2023","Negeri Sembilan","Public School (SMK / SMJKC)","Islamic Studies;Sports Science","3 - 5 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Strategic;Persuasive;Compassionate","5","Foundation","Law & Legal Studies","Family expectation;Peers / Friends influence","No","2","dont do what you dont want to"
"2025/11/16 5:31:24 PM GMT+8","Male","SPM 2022","Perlis","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Helping and communicating with people","Analytical;Strategic;Resiliant","5","STPM","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Family expectation;Peers / Friends influence","No","2","choose wisely"
"2025/11/16 5:34:27 PM GMT+8","Male","SPM 2020","Melaka","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Sports Science","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Compassionate","4","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Family expectation;Peers / Friends influence","No","2","salary is not everything"
"2025/11/16 5:39:44 PM GMT+8","Male","SPM 2023","Melaka","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Organizing, planning, or managing;Writing or storytelling","Creative;Analytical;Resiliant","3","Diploma","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Salary potential;Family expectation","Yes","2","dont choose hard courses"
"2025/11/16 5:45:32 PM GMT+8","Male","SPM 2022","Kedah","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Extrovert","Organizing, planning, or managing;Experimenting and researching","Analytical;Strategic;Observant","5","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","Yes","5","Choose what youre passionate in"
"2025/11/16 5:49:08 PM GMT+8","Female","SPM 2020","Pahang","Religous School (Sekolah Agama)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Technology & Computing Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Resiliant","5","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Academic strength in SPM subjects;University / Scolarship offer","Yes","4","Ask yourself what you want"
"2025/11/17 10:42:22 AM GMT+8","Male","SPM 2022","Pahang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc);Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Accountancy & Commerce Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Organizing, planning, or managing","Outgoing;Analytical;Resiliant","2","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","4","Think of your ability"
"2025/11/17 10:43:37 AM GMT+8","Female","SPM 2021","Pahang","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Helping and communicating with people","Creative;Outgoing;Persuasive","5","Diploma","Law & Legal Studies","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","No","5","SPM subjects don’t determine your future"
"2025/11/17 10:44:48 AM GMT+8","Male","SPM 2020","Sarawak","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Compassionate","4","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Family expectation;Peers / Friends influence","Yes","1","choose wisely"
"2025/11/17 10:46:32 AM GMT+8","Male","SPM 2022","Sabah","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Ambivert","Solving logical or mathematical problems;Organizing, planning, or managing","Adventurous;Strategic;Persuasive","5","A-Levels","Science & Mathematics (Biology, Chemistry, Mathematics etc)","Personal interest & Passion;Academic strength in SPM subjects;Family expectation","Yes","5","Passion is important!!!"
"2025/11/17 10:48:20 AM GMT+8","Male","SPM 2022","Sarawak","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Accountancy & Commerce Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Writing or storytelling;Analysing and interpreting data","Analytical;Strategic;Observant","1","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Family expectation;Peers / Friends influence","Yes","4","Choose your passion"
"2025/11/17 10:50:10 AM GMT+8","Male","SPM 2020","Pulau Pinang","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Sports Science","9+ As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Observant;Reserved","4","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Academic strength in SPM subjects;Job opportunities;Salary potential;Family expectation","Yes","1","Do research before choosing"
"2025/11/17 10:56:24 AM GMT+8","Female","SPM 2022","Kuala Lumpur","Private School","Science (Biology, Chemistry etc);Arts","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Outgoing;Persuasive","5","A-Levels","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","5","pleasee Follow your passion"
"2025/11/17 10:58:48 AM GMT+8","Female","SPM 2021","Kedah","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","1 - 2 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Persuasive","2","Matriculation","Health & Medical Sciences (Medicine, Pharmacy, Dentristry etc)","Family expectation;Peers / Friends influence","Yes","1","don’t follow others "
"2025/11/17 11:00:31 AM GMT+8","Female","SPM 2022","Johor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Science Subjects (Science, Biology, Physics)","Ambivert","Solving logical or mathematical problems","Observant","3","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;Salary potential","No","4","think wisely before you take the courses make you sure you can do it and also make sure it van tivr you a job eith a hood salary also hahaha"
"2025/11/17 11:02:29 AM GMT+8","Female","SPM 2023","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc);Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral);Accountancy & Commerce Subjects","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Accountancy & Commerce Subjects","Ambivert","Helping and communicating with people;Experimenting and researching;Writing or storytelling","Adventurous;Strategic","5","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Academic strength in SPM subjects","Yes","4","DONT FOLLOW YOUR FRIENDS!! try to look at what will the future wants (job scope demand)"
"2025/11/17 11:03:20 AM GMT+8","Female","SPM 2021","Sabah","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Islamic Studies","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Writing or storytelling","Creative;Outgoing;Observant","2","Matriculation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Job opportunities;Family expectation;Peers / Friends influence","Yes","2","don’t choose what you think you won’t like"
"2025/11/17 11:09:54 AM GMT+8","Female","SPM 2022","Selangor","Public School (SMK / SMJKC)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc);Sports Science","6 - 8 As (A-, A, A+)","Mathematical Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Introvert","Solving logical or mathematical problems;Creating or designing things;Analysing and interpreting data","Creative;Analytical;Observant","2","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Salary potential;Family expectation","No","4","Employability > interest"
"2025/11/17 11:10:31 AM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Organizing, planning, or managing","Observant;Reserved","3","Diploma","Media & Communication","Personal interest & Passion;Job opportunities;Family expectation","No","4","Identify your strengths and weaknesses first before choosing your path"
"2025/11/17 11:10:56 AM GMT+8","Female","SPM 2022","Sarawak","Boarding School (SBP / MRSM etc)","Arts;Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics)","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Adventurous;Outgoing;Persuasive","5","Diploma","Law & Legal Studies","Family expectation","No","1","family expectations may harm you"
"2025/11/17 11:12:18 AM GMT+8","Male","SPM 2021","Selangor","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Ambivert","Creating or designing things;Helping and communicating with people;Writing or storytelling","Creative;Observant;Reserved","3","Diploma","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion;Academic strength in SPM subjects;Job opportunities","No","4","Choose your course based on your interest and current job market mamas"
"2025/11/17 11:13:27 AM GMT+8","Male","SPM 2020","Kuala Lumpur","Private School","Arts","9+ As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Outgoing;Persuasive","5","A-Levels","Media & Communication","Personal interest & Passion;Academic strength in SPM subjects","Yes","4","ask around for opinions"
"2025/11/17 11:14:35 AM GMT+8","Male","SPM 2022","Selangor","Public School (SMK / SMJKC)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Technical & Engineering Subjects","Ambivert","Helping and communicating with people;Writing or storytelling","Creative;Adventurous;Resiliant","4","Foundation","Business & Management (Accounting, Finance, Marketing etc)","Personal interest & Passion;Job opportunities;University / Scolarship offer","No","4","Study hard now or regret later"
"2025/11/17 11:17:02 AM GMT+8","Male","SPM 2020","Kuala Lumpur","Boarding School (SBP / MRSM etc)","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Mathematical Subjects","Introvert","Creating or designing things;Helping and communicating with people","Creative;Persuasive;Observant","2","A-Levels","Media & Communication","Personal interest & Passion;Job opportunities;Peers / Friends influence","Yes","5","take quizzes to know better"
"2025/11/17 11:20:00 AM GMT+8","Male","SPM 2020","Negeri Sembilan","Boarding School (SBP / MRSM etc)","Science (Biology, Chemistry etc)","1 - 2 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics);Technology & Computing Subjects","Extrovert","Helping and communicating with people;Organizing, planning, or managing","Creative;Adventurous;Compassionate","1","Foundation","Media & Communication","Personal interest & Passion;Family expectation;Peers / Friends influence","No","4","choose your passion"
"2025/11/17 11:21:45 AM GMT+8","Female","SPM 2020","Kuala Lumpur","Boarding School (SBP / MRSM etc)","Accountancy & Commerce (Perniagaan, Ekonomi etc)","6 - 8 As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Science Subjects (Science, Biology, Physics);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Organizing, planning, or managing;Experimenting and researching","Analytical;Strategic;Observant","4","A-Levels","Law & Legal Studies","Salary potential;Family expectation;Peers / Friends influence","No","2","don’t choose what you’re not passionate in"
"2025/11/17 11:31:23 AM GMT+8","Female","SPM 2021","Negeri Sembilan","Public School (SMK / SMJKC)","Science (Biology, Chemistry etc)","3 - 5 As (A-, A, A+)","Science Subjects (Science, Biology, Physics)","Mathematical Subjects","Ambivert","Helping and communicating with people;Experimenting and researching","Outgoing;Strategic;Compassionate","3","STPM","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Personal interest & Passion;Job opportunities;Salary potential","No","4","Just follow yr heart "
"2025/11/17 11:56:47 AM GMT+8","Female","SPM 2020","Kuala Lumpur","Private School","Arts","6 - 8 As (A-, A, A+)","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Mathematical Subjects;Science Subjects (Science, Biology, Physics)","Extrovert","Creating or designing things;Organizing, planning, or managing","Creative;Persuasive;Compassionate","5","Foundation","Creative Art (Fashion Design, Interior Design etc)","Personal interest & Passion;Academic strength in SPM subjects;Peers / Friends influence","Yes","4","Weigh in every option"
"2025/11/17 12:01:25 PM GMT+8","Female","SPM 2021","Johor","Private School","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Introvert","Experimenting and researching;Analysing and interpreting data","Analytical;Observant;Reserved","1","Diploma","Architecture & Built Environment","Family expectation;Peers / Friends influence","No","1","Don’t succumb into your friends’ influence"
"2025/11/17 12:03:07 PM GMT+8","Female","SPM 2021","Selangor","Public School (SMK / SMJKC)","Arts;Accountancy & Commerce (Perniagaan, Ekonomi etc)","3 - 5 As (A-, A, A+)","Mathematical Subjects;Accountancy & Commerce Subjects","Mathematical Subjects;Accountancy & Commerce Subjects","Ambivert","Solving logical or mathematical problems;Writing or storytelling","Outgoing;Analytical;Persuasive","1","Diploma","Business & Management (Accounting, Finance, Marketing etc)","Academic strength in SPM subjects;Job opportunities;University / Scolarship offer","Yes","4","better to plan the future path right now and not “following the flow in life” "
"2025/11/17 12:28:09 PM GMT+8","Female","SPM 2020","Sarawak","Boarding School (SBP / MRSM etc)","Technical & Vocational (Sains Komputer, Rekacipta, Lukisan Kejuruteraan etc)","9+ As (A-, A, A+)","Mathematical Subjects;Technical & Engineering Subjects","Language Subjects (B. Melayu, B. Inggeris, B. Arab);Art, Humanities & Social Science Subjects (Art, History, P.Islam/Moral)","Extrovert","Solving logical or mathematical problems;Analysing and interpreting data","Analytical;Strategic;Observant","1","Foundation","Computer Science, Software & Data (Cybersecurity, Data Analytics etc)","Academic strength in SPM subjects;Job opportunities;Salary potential","Yes","3","Search future job market"
